INSTNM,STABBR,ADM_RATE,ADM_RATE_ALL,SAT_AVG,SAT_AVG_ALL
University of Alabama in Huntsville,AL,0.8203,0.820342205,1219,1219
Auburn University,AL,0.8347,0.834650313,1215,1215
Hendrix College,AR,0.8282,0.828228228,1244,1244
California Institute of Technology,CA,0.0883,0.088275862,1545,1545
California Polytechnic State University-San Luis Obispo,CA,0.3089,0.308887976,1234,1234
University of California-Berkeley,CA,0.1602,0.160201675,1382,1382
University of California-Davis,CA,0.4037,0.403680029,1226,1226
University of California-Los Angeles,CA,0.1856,0.185573801,1330,1330
University of California-San Diego,CA,0.3329,0.332874959,1313,1313
University of California-Santa Barbara,CA,0.3634,0.363447233,1253,1253
Chapman University,CA,0.4704,0.470376589,1210,1210
Claremont McKenna College,CA,0.1077,0.10772795,1419,1419
Harvey Mudd College,CA,0.1425,0.142468733,1500,1500
Loyola Marymount University,CA,0.5271,0.527110671,1218,1218
Middlebury Institute of International Studies at Monterey,CA,NULL,0.171690055,NULL,1379
Occidental College,CA,0.4204,0.420359084,1300,1300
Pepperdine University,CA,0.3546,0.354610725,1234,1234
Pomona College,CA,0.1219,0.121910185,1454,1454
University of San Diego,CA,0.4625,0.46248333,1243,1243
Santa Clara University,CA,0.4935,0.493493493,1309,1309
Scripps College,CA,0.284,0.284049284,1360,1360
University of Southern California,CA,0.1802,0.180238829,1380,1380
Thomas Aquinas College,CA,0.827,0.827027027,1261,1261
University of Colorado Boulder,CO,0.8416,0.841605435,1207,1207
Colorado School of Mines,CO,0.3647,0.364748784,1333,1333
University of Denver,CO,0.7649,0.764886613,1231,1231
University of Connecticut,CT,0.4996,0.503354871,1246,1228
Rensselaer Hartford Graduate Center Inc,CT,NULL,0.375013439,NULL,1372
Yale University,CT,0.063,0.06304151,1493,1493
American University,DC,0.4584,0.45842979,1252,1252
George Washington University,DC,0.4379,0.437935917,1297,1297
Georgetown University,DC,0.1735,0.173493976,1414,1414
Florida State University,FL,0.5539,0.553855812,1228,1228
